10,300,0,violonsEchelle1,violonsEchelle1,1,1,1,0,0,4,,,
11,300,0,violonsEchelle2,violonsEchelle2,1,1,1,0,0,4,,,
12,300,0,violonsEchelle3,violonsEchelle3,1,1,1,0,0,4,,,
13,300,0,violonsEchelle4,violonsEchelle4,1,1,1,0,0,4,,,
14,300,0,violonsEchelle5,violonsEchelle5,1,1,1,0,0,4,,,
15,300,0,violonsEchelle6,violonsEchelle6,1,1,1,0,0,4,,,
16,300,0,violonsEchelle7,violonsEchelle7,1,1,1,0,0,4,,,
17,300,0,violonsEchelle8,violonsEchelle8,1,1,1,0,0,4,,,
18,300,0,violonsEchelle9,violonsEchelle9,1,1,1,0,0,4,,,
30,300,0,violonsChrom1,violonsChrom1,1,1,1,0,1,4,,,
31,300,0,violonsChrom2,violonsChrom2,1,1,1,0,1,4,,,
32,300,0,violonsChrom3,violonsChrom3,1,1,1,0,1,4,,,
33,300,0,violonsChrom4,violonsChrom4,1,1,1,0,1,4,,,
34,300,0,violonsChrom5,violonsChrom5,1,1,1,0,1,4,,,
35,300,0,violonsChrom6,violonsChrom6,1,1,1,0,1,4,,,
36,300,0,violonsChrom7,violonsChrom7,1,1,1,0,1,4,,,
37,300,0,violonsChrom8,violonsChrom8,1,1,1,0,1,4,,,
38,300,0,violonsChrom9,violonsChrom9,1,1,1,0,1,4,,,
39,300,0,violonsChrom10,violonsChrom10,1,1,1,0,1,4,,,
40,300,0,violonsChrom11,violonsChrom11,1,1,1,0,1,4,,,
41,300,0,violonsChrom12,violonsChrom12,1,1,1,0,1,4,,,
42,300,0,violonsChrom13,violonsChrom13,1,1,1,0,1,4,,,
43,300,0,violonsChrom14,violonsChrom14,1,1,1,0,1,4,,,
44,300,0,violonsChrom15,violonsChrom15,1,1,1,0,1,4,,,
45,300,0,violonsChrom16,violonsChrom16,1,1,1,0,1,4,,,
60,300,0,violonsTonal1,violonsTonal1,1,1,1,0,2,4,,,
61,300,0,violonsTonal2,violonsTonal2,1,1,1,0,2,4,,,
62,300,0,violonsTonal3,violonsTonal3,1,1,1,0,2,4,,,
63,300,0,violonsTonal4,violonsTonal4,1,1,1,0,2,4,,,
64,300,0,violonsTonal5,violonsTonal5,1,1,1,0,2,4,,,
65,300,0,violonsTonal6,violonsTonal6,1,1,1,0,2,4,,,
66,300,0,violonsTonal7,violonsTonal7,1,1,1,0,2,4,,,
67,300,0,violonsTonal8,violonsTonal8,1,1,1,0,2,4,,,
68,300,0,violonsTonal9,violonsTonal9,1,1,1,0,2,4,,,
69,300,0,violonsTonal10,violonsTonal10,1,1,1,0,2,4,,,
