10,510,0,Beat1,Beat1,0,0,4,0,0,8,192.168.1.43,,80
11,510,0,Beat2,Beat2,0,0,4,0,0,8,192.168.1.43,,80
12,510,0,Beat3,Beat3,0,0,4,0,0,8,192.168.1.43,,80
13,510,0,Beat4,Beat4,0,0,4,0,0,8,192.168.1.43,,80
14,510,0,Beat5,Beat5,0,0,4,0,0,8,192.168.1.43,,80
20,511,0,Ambiance1,Ambiance1,1,0,4,0,1,4,192.168.1.28,,75
21,511,0,Ambiance2,Ambiance2,1,0,4,0,1,8,192.168.1.28,,75
22,511,0,Ambiance3,Ambiance3,1,0,4,0,1,4,192.168.1.28,,75
30,511,0,Synthe1,Synthe1,2,0,4,0,2,2,,,
31,511,0,Synthe2,Synthe2,2,0,4,0,2,2,,,
32,511,0,Synthe3,Synthe3,2,0,4,0,2,2,,,
33,511,0,Synthe4,Synthe4,2,0,4,0,2,2,,,
34,511,0,Synthe5,Synthe5,2,0,4,0,2,2,,,
35,511,0,Synthe6,Synthe6,2,0,4,0,2,2,,,
36,511,0,Synthe7,Synthe7,2,0,4,0,2,2,,,
40,511,0,Conga1,Conga1,3,0,4,0,3,4,192.168.1.24,,
41,511,0,Conga2,Conga2,3,0,4,0,3,4,192.168.1.24,,
42,511,0,Conga3,Conga3,3,0,4,0,3,4,192.168.1.24,,
43,511,0,Loop1,Loop1,4,0,4,0,4,8,192.168.1.24,,
44,511,0,Loop2,Loop2,4,0,4,0,4,8,192.168.1.24,,
45,511,0,Loop3,Loop3,4,0,4,0,4,16,192.168.1.24,,
